item,mean_rank,median_rank,best_rank,worst_rank,mean_weight,std_weight,stable_top_3_probability,cluster_code,cluster,code,barrier
F1,1.0,1.0,1,1,0.298723672529818,0.0031419970373923415,1.0,F,Financial barriers,F1,High investment cost
F3,2.0,2.0,2,2,0.23079547182378954,0.002642869122755179,1.0,F,Financial barriers,F3,Split incentives
F2,3.0,3.0,3,3,0.21952095860629778,0.0025326960910576723,1.0,F,Financial barriers,F2,Payback period uncertainty
F4,4.0,4.0,4,4,0.13043199883702494,0.0017616933723958346,0.0,F,Financial barriers,F4,Lack of loan opportunities
F5,5.0,5.0,5,5,0.07022049832193115,0.0010222084313675692,0.0,F,Financial barriers,F5,Lack of government support
F6,6.0,6.0,6,6,0.050307399881138616,0.0007480246737780064,0.0,F,Financial barriers,F6,Lack of private investment incentives
I1,1.03,1.0,1,2,0.39843448121466457,0.004929425322085513,1.0,I,Institutional barriers,I1,Complex workflow and fragmented responsibilities
I2,1.97,2.0,1,2,0.38042606891312053,0.005447491148783695,1.0,I,Institutional barriers,I2,Multi-stakeholder misalignment
I3,3.0,3.0,3,3,0.22113944987221484,0.004270874505919881,1.0,I,Institutional barriers,I3,Lack of energy audit information
T1,1.0,1.0,1,1,0.44838286199742905,0.005089626658115814,1.0,T,Technical barriers,T1,Lack of skilled professionals
T2,2.0,2.0,2,2,0.35051269438223953,0.005251452826030281,1.0,T,Technical barriers,T2,Difficulty selecting optimal renovation measures
T3,3.0,3.0,3,3,0.20110444362033142,0.003961417314758481,1.0,T,Technical barriers,T3,Lack of standards and guidelines
S1,1.0,1.0,1,1,0.39838578487347553,0.004897497799053458,1.0,S,Social barriers,S1,Lack of motivation and awareness
S2,2.0,2.0,2,2,0.35035364845710987,0.00527328996033305,1.0,S,Social barriers,S2,Lack of trust in benefits and contractors
S3,3.0,3.0,3,3,0.2512605666694146,0.004651286480545138,1.0,S,Social barriers,S3,Perceived disruption
